LATITUDE,LONGITUDE,index
65.6666666,21.0666666,203
66.2833333,21.1333333,204
65.0333333,21.5666666,205
66.2666666,22.85,206
66.8166666,22.3333333,207
65.543758,22.121989,208
65.3166666,22.3833333,209
65.7,23.1,210
65.8333333,24.15,211
66.6166666,23.4666666,212
63.2833333,12.1333333,213
63.05,12.2833333,214
63.3,13.8833333,215
63.3666666,13.1666666,216
63.8333333,13.5,217
64.5,14.1666666,218
63.2,14.5,219
64.2166666,15.55,220
63.6833333,14.6,221
64.9666666,15.3833333,222
63.7666666,15.3333333,223
64.0833333,16.2333333,224
63.6833333,16.95,225
64.5833333,16.85,226
64.548322,18.716219,227
63.15,16.1666666,228
64.1666666,17.3166666,229
64.7333333,17.4,230
63.048597,17.768856,231
63.1333333,18.25,232
64.55,18.7166666,233
64.0833333,18.3666666,234
63.65,18.55,235
63.408339,18.990039,236
63.1833333,19.0166666,237
64.9333333,19.3833333,238
64.5666666,19.7,239
63.4333333,19.6833333,240
63.791828,20.282758,241
61.2666667,17.1,242
63.8,20.8666666,243
63.6,20.75,244
64.4333333,21.2833333,245
64.624772,21.076892,246
64.4833333,21.5833333,247
61.8333333,12.2833333,248
62.7333333,12.7333333,249
61.8833333,12.85,250
62.45,12.6666666,251
61.15,13.1166666,252
62.1,13.6166666,253
62.75,13.85,254
61.25,14.0333333,255
62.0166666,14.1833333,256
62.5,14.15,257
61.6666666,15.0,258
62.75,15.0833333,259
62.2666666,15.6666666,260
61.3666666,15.7166666,261
62.5,16.2833333,262
61.8333333,16.55,263
62.7666666,16.7333333,264
62.4333333,17.35,265
61.7,17.5333333,266
62.528125,17.443928,267
62.2166666,17.75,268
62.65,18.1,269
58.7,13.1166666,270
59.2166666,12.0833333,271
60.6833333,13.7,272
59.675856,12.639442,273
60.75,12.7666666,274
59.444714,13.337361,275
59.8666666,13.1166666,276
60.15,13.8,277
59.223733,15.037956,278
59.6666666,14.1833333,279
59.2333333,15.05,280
60.422017,15.515211,281
60.9666666,16.4333333,282
60.9666666,14.5,283
59.589444,16.633611,284
59.3833333,16.45,285
60.7333333,17.5666666,286
59.3,14.9,287
60.7166666,17.1666666,288
60.2333333,17.9,289
59.897328,17.588581,290
59.651944,17.918611,291
59.354372,17.94165,292
60.3833333,15.1333333,293
59.1833333,17.9166667,294
60.1166666,15.1166666,295
59.05,16.4,296
59.9166666,16.6833333,297
60.2666666,16.9833333,298
59.35,18.0666666,299
58.788636,16.912189,300
59.3666666,17.5166666,301
59.35,18.7333333,302
60.5333333,18.3833333,303
59.0666666,18.1166666,304
59.8333333,18.6333333,305
59.75,19.4166666,306
59.45,19.5,307
59.15,19.1333333,308
58.9,11.0,309
58.1,11.3333333,310
58.6666666,11.4166666,311
58.318056,12.345,312
57.774722,11.870372,313
57.7166666,12.0,314
65.590278,19.281944,315
58.2,12.15,316
57.6,11.6333333,317
57.3,11.9,318
58.426445,12.714389,319
58.6,12.4166666,320
57.662836,12.279819,321
58.4564,13.972672,322
57.7833333,13.1666666,323
57.1166666,12.7833333,324
58.6,12.2,325
58.3166666,13.0333333,326
58.8833333,14.3833333,327
58.1,14.4166666,328
57.5,14.4666666,329
57.757594,14.068731,330
58.0666666,15.2333333,331
58.0833333,13.7833333,332
58.7166666,15.0333333,333
57.292222,14.137222,334
57.8833333,15.8666666,335
58.6833333,16.3166666,336
57.7,16.4666666,337
58.402278,15.525683,338
58.40615,15.680508,339
58.25,17.0166666,340
56.2833333,12.8333333,341
57.525833,15.823333,342
57.4,15.8166666,343
58.75,17.8666666,344
58.586253,16.250622,345
58.5833333,16.15,346
57.3666666,17.1,347
58.6,17.4666666,348
58.4,19.2,349
57.9166666,18.95,350
57.662797,18.346211,351
57.55,18.4333333,352
57.4333333,18.9833333,353
56.4,12.95,354
56.8666666,12.6666666,355
56.691128,12.820211,356
56.45,12.55,357
55.4666666,13.6666666,358
56.0333333,12.7666666,359
55.3833333,12.8166666,360
56.9666666,13.0666666,361
56.85,13.8833333,362
55.8666666,13.6666666,363
55.4833333,14.3166666,364
56.0166666,14.85,365
55.95,15.7,366
55.5666666,13.0666666,367
55.530193,13.371639,368
56.929144,14.727994,369
56.2,16.4,370
56.6666666,16.4666666,371
56.85,14.8333333,372
